"Date","Funding","Account","Activity","Document","Description","Amount"
"07/11/2013","SGI (1)","Equipment Purchase (685)","General (00)","CF  11184 (182324)","£427.50 for the purchase of tshirts, 12 for commit","-427.50"
"09/12/2013","SGI (1)","Equipment Purchase (685)","General (00)","CF  12169 (184640)","Purchase of a small money to store essential items","-7.74"
"11/12/2013","SGI (1)","Equipment Purchase (685)","General (00)","CF  12168 (185095)","Lockable box to store  sound system, preventing da","-60.90"
"11/12/2013","SGI (1)","Equipment Purchase (685)","General (00)","CF  11491 (185134)","The purchase of embroidered badges for the members","-160.20"
"03/03/2014","SGI (1)","Equipment Purchase (685)","General (00)","CF  13262 (189336)","Purchase of 5 foldable chairs to be used as props.","-55.00"
"14/04/2014","SGI (1)","Equipment Purchase (685)","General (00)","CF  14406 (191857)","Purchase of 12 Jersey Skirts ,  4 packs of Girls B","-84.00"
"14/04/2014","SGI (1)","Equipment Purchase (685)","General (00)","CF  14406 (191857)","Purchase of 12 Jersey Skirts ,  4 packs of Girls B","-155.88"
"14/04/2014","SGI (1)","Equipment Purchase (685)","General (00)","CF  14407 (191858)","The purchase of various materials, props and essen","-18.99"
"14/04/2014","SGI (1)","Equipment Purchase (685)","General (00)","CF  14407 (191858)","The purchase of various materials, props and essen","-20.05"
"08/11/2013","SGI (1)","Stationery (860)","General (00)","CF  11492 (182739)","The purchase of 3 packets of laminating plastic (2","-6.23"
"31/03/2014","SGI (1)","Travel Expenditure (895)","General (00)","Minibus bkg 16309  fuel charge (191346)","AUC (SK-15) fuel purchased on 09/03/2014","-57.96"
"31/03/2014","SGI (1)","Travel Expenditure (895)","General (00)","Minibus hire charge  16309 (191350)","AUC 09/03/2014 06:00:00-09/03/2014 22:00:00","-127.00"
