"Date","Funding","Account","Activity","Document","Description","Amount"
"06/01/2016","SGI (1)","Publicity (825)","General (00)","CF  25570 (241992)","Freshers fair snack tubs","-8.33"
"06/01/2016","SGI (1)","Subscriptions (870)","General (00)","CF  25662 (241995)","WorldOfDance social: ticket subsidy","-108.75"
"22/03/2016","SGI (1)","Travel Expenditure (895)","General (00)","CJ  3329 (247590)","Minibus Hire Grant","53.06"
"01/06/2016","SGI (1)","Travel Expenditure (895)","General (00)","50732  264 (252185)","AP Invoices - JOH15 (John Ganly)","-290.00"
"21/01/2016","SGI (1)","Travel Income (590)","Edinburgh Competition Feb '16 (21)","ECOM  17386 (242993)","Online Sales 20160121","562.75"
"22/01/2016","SGI (1)","Travel Income (590)","Edinburgh Competition Feb '16 (21)","ECOM  17388 (242994)","Online Sales 20160122","228.75"
"23/01/2016","SGI (1)","Travel Income (590)","Edinburgh Competition Feb '16 (21)","ECOM  17390 (243002)","Online Sales 20160123","83.50"
"25/01/2016","SGI (1)","Travel Income (590)","Edinburgh Competition Feb '16 (21)","ECOM  17394 (243004)","Online Sales 20160125","41.75"
"27/01/2016","SGI (1)","Travel Income (590)","Edinburgh Competition Feb '16 (21)","ECOM  17398 (243008)","Online Sales 20160127","41.75"
"28/01/2016","SGI (1)","Travel Income (590)","Edinburgh Competition Feb '16 (21)","ECOM  17400 (243009)","Online Sales 20160128","41.75"
"22/03/2016","SGI (1)","Travel Income (590)","Edinburgh Competition Feb '16 (21)","ECOM  17515 (247862)","Online Sales 20160322","83.50"
"22/03/2016","SGI (1)","Travel Income (590)","Edinburgh Competition Feb '16 (21)","RE  1205 (247469)","Accommodation 4 ppl","167.00"
"22/03/2016","SGI (1)","Ground Hire (710)","Edinburgh Competition Feb '16 (21)","RE  1204 (247470)","Edinburgh Accommodation","-1,975.04"
"17/11/2015","Harlington (2)","Grant Receivable (470)","General (00)","SJ (237762)","Harlington funds 15/16","2,640.00"
"06/01/2016","Harlington (2)","Equipment Purchase (685)","General (00)","CF  26891 (241996)","Mirror purchase","-1,006.67"
"01/07/2016","Harlington (2)","Equipment Purchase (685)","General (00)","PO 5017022 51753  INV002398 (267977)","AP Invoices - MIR2 (Mirrors For Training)","-1,001.97"
"16/03/2016","ICTrust (3)","Grant Receivable (470)","General (00)","(246855)","Transfers Funkology Atumn Tour","1,160.00"
"19/06/2016","ICTrust (3)","Travel Expenditure (895)","Edinburgh Competition Feb '16 (21)","CF  30063 (252632)","Edinburgh travel","-40.00"
"19/06/2016","ICTrust (3)","Travel Expenditure (895)","Edinburgh Competition Feb '16 (21)","CF  30082 (252633)","Edinburgh claim","-38.80"
"19/06/2016","ICTrust (3)","Travel Expenditure (895)","Edinburgh Competition Feb '16 (21)","CF  30071 (252634)","edinburgh claim","-40.00"
"19/06/2016","ICTrust (3)","Travel Expenditure (895)","Edinburgh Competition Feb '16 (21)","CF  30088 (252635)","Edinburgh claim","-40.00"
"19/06/2016","ICTrust (3)","Travel Expenditure (895)","Edinburgh Competition Feb '16 (21)","CF  30089 (252636)","Edinburgh claim","-40.00"
"19/06/2016","ICTrust (3)","Travel Expenditure (895)","Edinburgh Competition Feb '16 (21)","CF  30095 (252637)","Edinburgh claim","-40.00"
"19/06/2016","ICTrust (3)","Travel Expenditure (895)","Edinburgh Competition Feb '16 (21)","CF  30099 (252638)","Edinbrugh claim","-40.00"
"19/06/2016","ICTrust (3)","Travel Expenditure (895)","Edinburgh Competition Feb '16 (21)","CF  30100 (252639)","Edinburgh claim","-40.00"
"19/06/2016","ICTrust (3)","Travel Expenditure (895)","Edinburgh Competition Feb '16 (21)","CF  30108 (252640)","Edinburgh claim","-40.00"
"19/06/2016","ICTrust (3)","Travel Expenditure (895)","Edinburgh Competition Feb '16 (21)","CF  30106 (252641)","Edinburgh claim","-40.00"
"19/06/2016","ICTrust (3)","Travel Expenditure (895)","Edinburgh Competition Feb '16 (21)","CF  30109 (252642)","Edinburgh claim","-40.00"
"19/06/2016","ICTrust (3)","Travel Expenditure (895)","Edinburgh Competition Feb '16 (21)","CF  30118 (252643)","Edinburgh claim","-40.00"
"19/06/2016","ICTrust (3)","Travel Expenditure (895)","Edinburgh Competition Feb '16 (21)","CF  30142 (252644)","Edinburgh claim","-40.00"
"19/06/2016","ICTrust (3)","Travel Expenditure (895)","Edinburgh Competition Feb '16 (21)","CF  30154 (252645)","Edinburgh claim","-40.00"
"01/07/2016","ICTrust (3)","Travel Expenditure (895)","Edinburgh Competition Feb '16 (21)","CF  30094 (254240)","Edinburgh travel","-40.00"
"01/07/2016","ICTrust (3)","Travel Expenditure (895)","Edinburgh Competition Feb '16 (21)","CF  30173 (254241)","Edinburgh travel","-40.00"
"01/07/2016","ICTrust (3)","Travel Expenditure (895)","Edinburgh Competition Feb '16 (21)","CF  30149 (254242)","Edinburgh travel","-40.00"
"01/07/2016","ICTrust (3)","Travel Expenditure (895)","Edinburgh Competition Feb '16 (21)","CF  31768 (254243)","Edinburgh travel","-40.00"
"12/07/2016","ICTrust (3)","Travel Expenditure (895)","Edinburgh Competition Feb '16 (21)","CF  31812 (254358)","Edinburgh travel","-40.00"
"26/07/2016","ICTrust (3)","Travel Expenditure (895)","Edinburgh Competition Feb '16 (21)","CF  30083 (255193)","Edinburgh Travel","-40.00"
