"Date","Funding","Account","Activity","Document","Description","Amount"
"05/11/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14947 (151812)","Online Sales 20121105","23.81"
"08/11/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14959 (152001)","Online Sales 20121108","9.52"
"09/11/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14961 (152006)","Online Sales 20121109","23.81"
"10/11/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14963 (152007)","Online Sales 20121110","14.29"
"12/11/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14967 (152119)","Online Sales 20121112","4.76"
"15/11/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14975 (152385)","Online Sales 20121115","4.76"
"22/11/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14989 (152723)","Online Sales 20121122","14.29"
"24/11/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  14993 (152848)","Online Sales 20121124","4.76"
"29/11/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  15003 (153413)","Online Sales 20121129","4.76"
"11/12/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  15027 (154148)","Online Sales 20121211","9.52"
"29/12/2012","SGI (1)","Subscriptions (570)","General (00)","ECOM  15068 (154685)","Online Sales 20121229","4.76"
"15/01/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15103 (155911)","Online Sales 20130115","4.76"
"17/01/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15109 (156163)","Online Sales 20130117","4.76"
"18/01/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15111 (156164)","Online Sales 20130118","4.76"
"19/01/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15113 (156165)","Online Sales 20130119","4.76"
"20/01/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15115 (156166)","Online Sales 20130120","9.52"
"11/03/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15216 (159196)","Online Sales 20130311","4.76"
"25/03/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15246 (159846)","Online Sales 20130325","4.76"
"17/01/2013","SGI (1)","Consumables (640)","General (00)","CF  7304 (156247)","Pizza for Funkology Crew training","-68.97"
"17/01/2013","SGI (1)","Consumables (640)","General (00)","CF  7303 (157034)","Membership Card Laminates","-4.47"
"25/06/2013","SGI (1)","Consumables (640)","General (00)","CF  10151 (164600)","Pizza ordered for a social","-68.72"
"28/11/2012","SGI (1)","Entrance Fee Competition (680)","General (00)","CF  6949 (153940)","£66 for RHUL Get Down competition entry fee paid b","-66.00"
"20/03/2013","SGI (1)","Entrance Fee Competition (680)","General (00)","CF  9002 (160107)","Entry fees for 15 performing crew members at £25 e","-390.00"
"17/01/2013","SGI (1)","Equipment Purchase (685)","General (00)","CF  7303 (157034)","50 Society T-shirts","-522.00"
"17/01/2013","SGI (1)","Equipment Purchase (685)","General (00)","CF  7303 (157034)","200 Society Pin Badges","-58.50"
"20/03/2013","SGI (1)","Instructors (735)","General (00)","CF  9003 (160108)","Payment of the regular hiphop teacher, for 16 clas","-52.00"
"10/02/2013","SGI (1)","Travel Expenditure (895)","General (00)","CF  8302 (157902)","Fees for hiring a minibus to take the performing c","-375.00"
"01/08/2012","ICTrust (3)","Members Funds (225)","General (00)","(145241)","Opening Balance 2012/13","200.00"
"28/09/2012","ICTrust (3)","Members Funds (225)","General (00)","AB/JP (147059)","Xfer to MemFunds - GenSGI: Adjust Trust Funding","-200.00"
