"Date","Funding","Account","Activity","Document","Description","Amount"
"27/11/2017","SGI (1)","Goods & Services (450)","General (00)","ECOM  1275 (313611)","Online Sales 20171127","45.00"
"11/12/2017","SGI (1)","Goods & Services (450)","General (00)","ECOM  1317 (315222)","Online Sales 20171211","20.00"
"13/12/2017","SGI (1)","Goods & Services (450)","General (00)","ECOM  1323 (315543)","Online Sales 20171213","16.67"
"14/12/2017","SGI (1)","Goods & Services (450)","General (00)","ECOM  1326 (315903)","Online Sales 20171214","20.00"
"12/04/2018","SGI (1)","Goods & Services (450)","General (00)","ECOM  1683 (338789)","Online Sales 20180412","52.50"
"13/04/2018","SGI (1)","Goods & Services (450)","General (00)","ECOM  1686 (338790)","Online Sales 20180413","11.67"
"02/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1107 (308961)","Online Sales 20171002","16.67"
"03/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1110 (308962)","Online Sales 20171003","8.33"
"06/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1119 (308965)","Online Sales 20171006","8.33"
"08/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1125 (308967)","Online Sales 20171008","16.67"
"10/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1131 (309232)","Online Sales 20171010","8.33"
"12/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1137 (309386)","Online Sales 20171012","25.00"
"12/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1137 (309386)","Online Sales 20171012","24.00"
"13/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1140 (309513)","Online Sales 20171013","16.67"
"13/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1140 (309513)","Online Sales 20171013","16.00"
"14/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1143 (309514)","Online Sales 20171014","72.00"
"15/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1146 (309515)","Online Sales 20171015","16.67"
"15/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1146 (309515)","Online Sales 20171015","112.00"
"16/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1149 (309735)","Online Sales 20171016","8.33"
"16/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1149 (309735)","Online Sales 20171016","48.00"
"17/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1152 (309870)","Online Sales 20171017","40.00"
"18/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1155 (309988)","Online Sales 20171018","33.33"
"18/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1155 (309988)","Online Sales 20171018","160.00"
"19/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1158 (310076)","Online Sales 20171019","16.00"
"20/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1161 (310077)","Online Sales 20171020","8.00"
"21/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1164 (310078)","Online Sales 20171021","8.33"
"21/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1164 (310078)","Online Sales 20171021","112.00"
"22/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1167 (310079)","Online Sales 20171022","24.00"
"24/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1173 (310470)","Online Sales 20171024","8.00"
"25/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1176 (310638)","Online Sales 20171025","8.33"
"26/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1179 (310710)","Online Sales 20171026","8.00"
"28/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1185 (310712)","Online Sales 20171028","8.33"
"28/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1185 (310712)","Online Sales 20171028","16.00"
"29/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1188 (310713)","Online Sales 20171029","80.00"
"30/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1191 (311218)","Online Sales 20171030","16.00"
"31/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1194 (311219)","Online Sales 20171031","8.33"
"01/11/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1197 (312075)","Online Sales 20171101","32.00"
"02/11/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1200 (312076)","Online Sales 20171102","8.33"
"02/11/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1200 (312076)","Online Sales 20171102","16.00"
"03/11/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1203 (312077)","Online Sales 20171103","8.00"
"04/11/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1206 (312078)","Online Sales 20171104","32.00"
"05/11/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1209 (312079)","Online Sales 20171105","16.67"
"05/11/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1209 (312079)","Online Sales 20171105","48.00"
"06/11/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1212 (312080)","Online Sales 20171106","8.33"
"07/11/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1215 (312081)","Online Sales 20171107","33.33"
"07/11/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1215 (312081)","Online Sales 20171107","16.00"
"09/11/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1221 (312217)","Online Sales 20171109","8.33"
"12/11/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1230 (312365)","Online Sales 20171112","16.00"
"13/11/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1233 (312396)","Online Sales 20171113","24.00"
"14/11/2017","SGI (1)","Sales General (520)","General (00)","IF  3357  143919 (312893)","Physical T-Shirt Sales","133.33"
"17/11/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1245 (312946)","Online Sales 20171117","8.00"
"18/11/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1248 (312947)","Online Sales 20171118","24.00"
"20/11/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1254 (312949)","Online Sales 20171120","16.00"
"26/11/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1272 (313610)","Online Sales 20171126","40.00"
"26/11/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1272 (313610)","Online Sales 20171126","8.33"
"28/11/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1278 (313993)","Online Sales 20171128","8.00"
"02/12/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1290 (314760)","Online Sales 20171202","8.33"
"03/12/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1293 (314761)","Online Sales 20171203","16.00"
"06/12/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1302 (314766)","Online Sales 20171206","8.00"
"11/12/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1317 (315222)","Online Sales 20171211","16.00"
"12/01/2018","SGI (1)","Sales General (520)","General (00)","ECOM  1413 (317544)","Online Sales 20180112","8.00"
"21/01/2018","SGI (1)","Sales General (520)","General (00)","ECOM  1440 (318175)","Online Sales 20180121","16.00"
"22/01/2018","SGI (1)","Sales General (520)","General (00)","ECOM  1443 (318176)","Online Sales 20180122","16.00"
"26/01/2018","SGI (1)","Sales General (520)","General (00)","ECOM  1455 (318557)","Online Sales 20180126","16.00"
"27/01/2018","SGI (1)","Sales General (520)","General (00)","ECOM  1458 (318558)","Online Sales 20180127","16.00"
"28/01/2018","SGI (1)","Sales General (520)","General (00)","ECOM  1461 (318559)","Online Sales 20180128","64.00"
"29/01/2018","SGI (1)","Sales General (520)","General (00)","ECOM  1464 (319010)","Online Sales 20180129","24.00"
"04/02/2018","SGI (1)","Sales General (520)","General (00)","ECOM  1482 (333518)","Online Sales 20180204","8.00"
"07/02/2018","SGI (1)","Sales General (520)","General (00)","ECOM  1491 (333521)","Online Sales 20180207","16.00"
"17/02/2018","SGI (1)","Sales General (520)","General (00)","ECOM  1521 (333984)","Online Sales 20180217","16.00"
"18/02/2018","SGI (1)","Sales General (520)","General (00)","ECOM  1524 (333985)","Online Sales 20180218","8.00"
"20/02/2018","SGI (1)","Sales General (520)","General (00)","IF  3462  143920 (334854)","FYP Class and T-shirt Fees","400.00"
"25/02/2018","SGI (1)","Sales General (520)","General (00)","ECOM  1545 (334767)","Online Sales 20180225","16.00"
"02/03/2018","SGI (1)","Sales General (520)","General (00)","ECOM  1560 (335785)","Online Sales 20180302","16.00"
"04/03/2018","SGI (1)","Sales General (520)","General (00)","ECOM  1566 (335787)","Online Sales 20180304","16.00"
"06/03/2018","SGI (1)","Sales General (520)","General (00)","ECOM  1572 (335789)","Online Sales 20180306","8.00"
"11/03/2018","SGI (1)","Sales General (520)","General (00)","ECOM  1587 (336056)","Online Sales 20180311","48.00"
"05/05/2018","SGI (1)","Sales General (520)","General (00)","ECOM  1757 (340341)","Online Sales 20180505","16.00"
"06/05/2018","SGI (1)","Sales General (520)","General (00)","ECOM  1760 (340342)","Online Sales 20180506","16.00"
"10/05/2018","SGI (1)","Sales General (520)","General (00)","ECOM  1772 (340345)","Online Sales 20180510","16.00"
"13/05/2018","SGI (1)","Sales General (520)","General (00)","ECOM  1781 (340527)","Online Sales 20180513","8.00"
"30/05/2018","SGI (1)","Sales General (520)","General (00)","ECOM  1832 (341633)","Online Sales 20180530","8.00"
"21/08/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  981 (306232)","Online Sales 20170821","5.71"
"30/08/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1008 (306683)","Online Sales 20170830","5.71"
"26/09/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1089 (307804)","Online Sales 20170926","5.71"
"28/09/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1095 (308029)","Online Sales 20170928","5.71"
"30/09/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1101 (308094)","Online Sales 20170930","5.71"
"01/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1098 (310915)","Online Sales 20170929","5.71"
"02/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1107 (308961)","Online Sales 20171002","5.71"
"03/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1110 (308962)","Online Sales 20171003","17.14"
"05/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1116 (308964)","Online Sales 20171005","11.43"
"06/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1119 (308965)","Online Sales 20171006","17.14"
"07/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1122 (308966)","Online Sales 20171007","5.71"
"08/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1125 (308967)","Online Sales 20171008","34.29"
"09/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1128 (308968)","Online Sales 20171009","22.86"
"10/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1131 (309232)","Online Sales 20171010","11.43"
"11/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1134 (309385)","Online Sales 20171011","11.43"
"12/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1137 (309386)","Online Sales 20171012","22.86"
"13/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1140 (309513)","Online Sales 20171013","11.43"
"14/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1143 (309514)","Online Sales 20171014","11.43"
"15/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1146 (309515)","Online Sales 20171015","40.00"
"16/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1149 (309735)","Online Sales 20171016","51.43"
"17/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1152 (309870)","Online Sales 20171017","11.43"
"18/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1155 (309988)","Online Sales 20171018","45.71"
"19/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1158 (310076)","Online Sales 20171019","5.71"
"20/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1161 (310077)","Online Sales 20171020","11.43"
"21/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1164 (310078)","Online Sales 20171021","40.00"
"22/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1167 (310079)","Online Sales 20171022","17.14"
"23/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1170 (310469)","Online Sales 20171023","40.00"
"24/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1173 (310470)","Online Sales 20171024","17.14"
"25/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1176 (310638)","Online Sales 20171025","51.43"
"26/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1179 (310710)","Online Sales 20171026","11.43"
"28/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1185 (310712)","Online Sales 20171028","28.57"
"29/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1188 (310713)","Online Sales 20171029","22.86"
"31/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1194 (311219)","Online Sales 20171031","5.71"
"01/11/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1197 (312075)","Online Sales 20171101","11.43"
"03/11/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1203 (312077)","Online Sales 20171103","5.71"
"04/11/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1206 (312078)","Online Sales 20171104","5.71"
"06/11/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1212 (312080)","Online Sales 20171106","5.71"
"12/11/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1230 (312365)","Online Sales 20171112","5.71"
"17/11/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1245 (312946)","Online Sales 20171117","5.71"
"18/11/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1248 (312947)","Online Sales 20171118","11.43"
"26/11/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1272 (313610)","Online Sales 20171126","17.14"
"28/11/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1278 (313993)","Online Sales 20171128","5.71"
"11/12/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1317 (315222)","Online Sales 20171211","11.43"
"19/12/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1341 (316087)","Online Sales 20171219","5.71"
"12/01/2018","SGI (1)","Subscriptions (570)","General (00)","ECOM  1413 (317544)","Online Sales 20180112","5.71"
"22/01/2018","SGI (1)","Subscriptions (570)","General (00)","ECOM  1443 (318176)","Online Sales 20180122","11.43"
"27/01/2018","SGI (1)","Subscriptions (570)","General (00)","ECOM  1458 (318558)","Online Sales 20180127","5.71"
"29/01/2018","SGI (1)","Subscriptions (570)","General (00)","ECOM  1464 (319010)","Online Sales 20180129","5.71"
"10/02/2018","SGI (1)","Subscriptions (570)","General (00)","ECOM  1500 (333524)","Online Sales 20180210","5.71"
"14/02/2018","SGI (1)","Subscriptions (570)","General (00)","ECOM  1512 (333981)","Online Sales 20180214","5.71"
"05/03/2018","SGI (1)","Subscriptions (570)","General (00)","ECOM  1569 (335788)","Online Sales 20180305","5.71"
"06/03/2018","SGI (1)","Subscriptions (570)","General (00)","ECOM  1572 (335789)","Online Sales 20180306","11.43"
"10/03/2018","SGI (1)","Subscriptions (570)","General (00)","ECOM  1584 (336055)","Online Sales 20180310","5.71"
"13/03/2018","SGI (1)","Subscriptions (570)","General (00)","ECOM  1593 (336753)","Online Sales 20180313","5.71"
"14/03/2018","SGI (1)","Subscriptions (570)","General (00)","ECOM  1596 (336754)","Online Sales 20180314","5.71"
"06/04/2018","SGI (1)","Subscriptions (570)","General (00)","ECOM  1665 (338783)","Online Sales 20180406","5.71"
"19/04/2018","SGI (1)","Subscriptions (570)","General (00)","ECOM  1704 (339058)","Online Sales 20180419","5.72"
"04/05/2018","SGI (1)","Subscriptions (570)","General (00)","ECOM  1754 (340340)","Online Sales 20180504","5.71"
"06/05/2018","SGI (1)","Subscriptions (570)","General (00)","ECOM  1760 (340342)","Online Sales 20180506","5.71"
"10/05/2018","SGI (1)","Subscriptions (570)","General (00)","ECOM  1772 (340345)","Online Sales 20180510","5.71"
"14/02/2018","SGI (1)","Travel Income (590)","General (00)","ECOM  1512 (333981)","Online Sales 20180214","45.00"
"15/02/2018","SGI (1)","Travel Income (590)","General (00)","ECOM  1515 (333982)","Online Sales 20180215","210.00"
"16/02/2018","SGI (1)","Travel Income (590)","General (00)","ECOM  1518 (333983)","Online Sales 20180216","120.00"
"20/02/2018","SGI (1)","Travel Income (590)","General (00)","ECOM  1530 (334560)","Online Sales 20180220","195.00"
"21/02/2018","SGI (1)","Travel Income (590)","General (00)","ECOM  1533 (334561)","Online Sales 20180221","30.00"
"02/03/2018","SGI (1)","Travel Income (590)","General (00)","ECOM  1560 (335785)","Online Sales 20180302","30.00"
"10/10/2017","SGI (1)","Consumables (640)","General (00)","CF  41463 (309236)","Pizza for social","-90.00"
"02/11/2017","SGI (1)","Consumables (640)","General (00)","CF  43763 (311856)","Consumables for social","-29.22"
"22/03/2018","SGI (1)","Consumables (640)","General (00)","CF  49161 (337017)","Drinks for social","-28.08"
"22/03/2018","SGI (1)","Consumables (640)","General (00)","CF  49162 (337018)","Drinks for Social","-20.19"
"09/11/2017","SGI (1)","Decorations (655)","General (00)","CF  44139 (312329)","Stickers","-37.99"
"05/12/2017","SGI (1)","Entrance Fee Conference (675)","General (00)","CF  45391 (314940)","WOD Tickets Subsidy","-45.00"
"10/11/2017","SGI (1)","Entrance Fee Competition (680)","General (00)","CF  44149 (312343)","Deposit to University of Manchester","-50.00"
"15/11/2017","SGI (1)","Entrance Fee Competition (680)","General (00)","CF  44304 (312722)","Deposit for Loughborough Competition","-60.00"
"15/11/2017","SGI (1)","Entrance Fee Competition (680)","General (00)","CF  44335 (312723)","Competition Fees to UCL Union","-300.00"
"11/01/2018","SGI (1)","Entrance Fee Competition (680)","General (00)","CF  46303 (317412)","Loughborough competition fees","-345.00"
"20/01/2018","SGI (1)","Entrance Fee Competition (680)","General (00)","CF  46455 (317924)","Manchester Competition fees after deposit","-598.00"
"18/10/2017","SGI (1)","Equipment Purchase (685)","General (00)","CF  41086 (310039)","T-Shirts for committee and crews","-423.00"
"20/12/2017","SGI (1)","Equipment Purchase (685)","General (00)","CF  45875 (316371)","Advanced Crew Costumes","-112.58"
"30/01/2018","SGI (1)","Equipment Purchase (685)","General (00)","IC  8644 (318875)","Replacement dance mirror (split equally between Dance company, Funkology, and Belly Dance)","-84.00"
"06/02/2018","SGI (1)","Equipment Purchase (685)","General (00)","CF  47384 (319751)","Costumes for Manchester Competition","-9.95"
"20/02/2018","SGI (1)","Equipment Purchase (685)","General (00)","CF  47728 (334285)","Loughborough Competition Costumes","-34.94"
"15/06/2018","SGI (1)","Equipment Purchase (685)","General (00)","CF  50618 (342717)","Novice Team Shirts","-130.00"
"15/06/2018","SGI (1)","Equipment Purchase (685)","General (00)","CF  50618 (342717)","Novice Team Caps","-24.13"
"19/06/2018","SGI (1)","Equipment Purchase (685)","General (00)","CJ  4602 (343532)","Novice Team Caps","28.95"
"19/06/2018","SGI (1)","Equipment Purchase (685)","General (00)","CJ  4602 (343532)","Novice Team Shirts","130.00"
"26/09/2017","SGI (1)","Goods for Resale (705)","General (00)","CF  40719 (307812)","Society T-shirts","-331.90"
"02/10/2017","SGI (1)","Hospitality (730)","General (00)","CF  41109 (308600)","Sweets for freshers' fair","-7.00"
"03/04/2018","SGI (1)","Hospitality (730)","General (00)","CF  49310 (338441)","Pizzas for AGM","-120.00"
"28/06/2018","SGI (1)","Hospitality (730)","General (00)","CF  50984 (344065)","Internal Showcase - Pizzas","-81.00"
"10/10/2017","SGI (1)","Instructors (735)","General (00)","CF  41465 (309237)","Payment for class instructors","-50.00"
"23/10/2017","SGI (1)","Instructors (735)","General (00)","CF  43087 (310330)","Payment to Instructors","-50.00"
"10/11/2017","SGI (1)","Instructors (735)","General (00)","CF  44141 (312342)","Instructor Fees","-50.00"
"27/11/2017","SGI (1)","Instructors (735)","General (00)","CF  45032 (313834)","Instructor Fees","-20.00"
"28/11/2017","SGI (1)","Instructors (735)","General (00)","CF  44947 (313869)","Foundation Instructor Fees","-50.00"
"28/11/2017","SGI (1)","Instructors (735)","General (00)","CF  44980 (313870)","Payment to Make Me Funky","-50.00"
"11/12/2017","SGI (1)","Instructors (735)","General (00)","CF  45645 (315375)","Instructor Fees","-20.00"
"12/12/2017","SGI (1)","Instructors (735)","General (00)","CF  45733 (315395)","Payment to external instructor for choreo class.","-20.00"
"04/02/2018","SGI (1)","Instructors (735)","General (00)","CF  47288 (319677)","Instructor Fees","-15.00"
"13/02/2018","SGI (1)","Instructors (735)","General (00)","CF  47611 (333843)","Instructor Fees","-20.00"
"19/02/2018","SGI (1)","Instructors (735)","General (00)","CF  47910 (334240)","Instructor Fees","-50.00"
"02/03/2018","SGI (1)","Instructors (735)","General (00)","CF  48351 (335716)","Instructor Fees","-20.00"
"02/03/2018","SGI (1)","Instructors (735)","General (00)","CF  48352 (335717)","Instructor Fees","-15.00"
"22/03/2018","SGI (1)","Instructors (735)","General (00)","CF  49046 (336989)","Spring workshop instructor payment","-75.00"
"22/03/2018","SGI (1)","Instructors (735)","General (00)","CF  49163 (337019)","Instructor Fees","-30.00"
"19/06/2018","SGI (1)","Instructors (735)","General (00)","CJ  4603 (343533)","Payment for class instructors","50.00"
"19/06/2018","SGI (1)","Instructors (735)","General (00)","CJ  4603 (343533)","Payment to Instructors","50.00"
"19/06/2018","SGI (1)","Instructors (735)","General (00)","CJ  4603 (343533)","Instructor Fees","50.00"
"19/06/2018","SGI (1)","Instructors (735)","General (00)","CJ  4603 (343533)","Payment to Make Me Funky","50.00"
"19/06/2018","SGI (1)","Instructors (735)","General (00)","CJ  4603 (343533)","Foundation Instructor Fees","50.00"
"19/06/2018","SGI (1)","Instructors (735)","General (00)","CJ  4603 (343533)","Instructor Fees","20.00"
"19/06/2018","SGI (1)","Instructors (735)","General (00)","CJ  4603 (343533)","Instructor Fees","50.00"
"19/06/2018","SGI (1)","Instructors (735)","General (00)","CJ  4603 (343533)","Instructor Fees","20.00"
"19/06/2018","SGI (1)","Instructors (735)","General (00)","CJ  4603 (343533)","Instructor Fees","30.00"
"04/12/2017","SGI (1)","Accommodation (790)","General (00)","CF  45326 (314867)","Deposit for accommodation for Manchester Competition","-197.88"
"22/01/2018","SGI (1)","Travel Expenditure (895)","General (00)","CF  46654 (318009)","Loughborough competition coach","-197.70"
"01/08/2017","SGI (1)","Members Funds (225)","Edinburgh Competition Feb '16 (21)","(305909)","Opening Balance 2017/18","-724.29"
"01/08/2017","SGI (1)","Members Funds (225)","Edinburgh Competition 2017 (22)","(305909)","Opening Balance 2017/18","-508.39"
"01/08/2017","Harlington (2)","Members Funds (225)","General (00)","(305910)","Opening Balance 2017/18","631.36"
"01/08/2017","ICTrust (3)","Members Funds (225)","General (00)","(305911)","Opening Balance 2017/18","1,160.00"
"10/06/2018","ICTrust (3)","Travel Expenditure (895)","General (00)","CF  50658 (342337)","Manchester Tour Travel - Christy","-30.00"
"10/06/2018","ICTrust (3)","Travel Expenditure (895)","General (00)","CF  50660 (342338)","Manchester Tour Travel - Marcella","-30.00"
"10/06/2018","ICTrust (3)","Travel Expenditure (895)","General (00)","CF  50668 (342344)","Manchester Tour Travel - Getrude","-30.00"
"13/06/2018","ICTrust (3)","Travel Expenditure (895)","General (00)","50658a  PM (343723)","Manchester Tour Travel - Christy(Reversal) - 34233","30.00"
"16/06/2018","ICTrust (3)","Travel Expenditure (895)","General (00)","CF  50705 (342733)","Manchester Tour Travel - Michael","-30.00"
"17/06/2018","ICTrust (3)","Travel Expenditure (895)","General (00)","CF  50671 (342743)","Manchester Tour Travel - Nicole","-22.70"
"17/06/2018","ICTrust (3)","Travel Expenditure (895)","General (00)","CF  50677 (342744)","Manchester Tour Travel - Stella","-30.00"
"17/06/2018","ICTrust (3)","Travel Expenditure (895)","General (00)","CF  50678 (342745)","Manchester Tour Travel - Feng","-30.00"
"17/06/2018","ICTrust (3)","Travel Expenditure (895)","General (00)","CF  50692 (342746)","Manchester Tour Travel - Melanie","-30.00"
"19/06/2018","ICTrust (3)","Travel Expenditure (895)","General (00)","CF  50800 (342765)","Manchester Tour Travel - Liam","-30.00"
"25/06/2018","ICTrust (3)","Travel Expenditure (895)","General (00)","CF  50846 (343910)","Travel Subsidy Manchester","-30.00"
"28/06/2018","ICTrust (3)","Travel Expenditure (895)","General (00)","CF  51005 (344009)","Manchester Travel Subsidy","-30.00"
"03/07/2018","ICTrust (3)","Travel Expenditure (895)","General (00)","CF  51131 (344297)","Manchester Tour Travel - Joyce","-30.00"
"03/07/2018","ICTrust (3)","Travel Expenditure (895)","General (00)","CF  51131 (344297)","Manchester Tour Travel - Christine","-30.00"
"01/08/2017","ICTrust (3)","Members Funds (225)","Edinburgh Competition Feb '16 (21)","(305911)","Opening Balance 2017/18","-798.80"
"01/08/2017","ICTrust (3)","Members Funds (225)","Edinburgh Competition 2017 (22)","(305911)","Opening Balance 2017/18","-360.10"
"13/02/2018","ICTrust (3)","Grant Receivable (470)","Unnamed Activity (23)","JD (333729)","Tours Allocation","904.40"
